Proc0;566;47
Proc1;566;47
Proc2;419;20
Proc3;893;42
Proc4;917;76
Proc5;311;46
Proc6;796;78
Proc7;398;65
Proc8;2;10
Proc9;685;84
Proc10;585;53
Proc11;420;69
Proc12;236;2
Proc13;604;90
Proc14;999;64
Proc15;753;88
Proc16;801;95
Proc17;596;31
Proc18;913;35
Proc19;510;43
Proc20;912;15
Proc21;355;63
Proc22;470;79
Proc23;335;75
Proc24;450;88
Proc25;560;35
Proc26;808;38
Proc27;368;18
Proc28;174;64
Proc29;331;31
Proc30;571;57
Proc31;184;86
Proc32;970;1
Proc33;444;11
Proc34;536;54
Proc35;674;59
Proc36;408;99
Proc37;557;61
Proc38;938;26
Proc39;21;21
Proc40;86;100
Proc41;976;4
Proc42;866;70
Proc43;906;41
Proc44;634;65
Proc45;811;34
Proc46;504;62
Proc47;893;41
Proc48;719;84
Proc49;497;5
Proc50;155;73
Proc51;837;59
Proc52;965;32
Proc53;450;29
Proc54;871;78
Proc55;440;25
Proc56;746;75
Proc57;444;81
Proc58;711;53
Proc59;371;10
Proc60;350;54
Proc61;774;61
Proc62;203;92
Proc63;726;14
Proc64;792;25
Proc65;481;56
Proc66;804;92
Proc67;275;14
Proc68;584;91
Proc69;237;99
Proc70;403;29
Proc71;836;72
Proc72;240;11
Proc73;648;73
Proc74;50;33
Proc75;101;55
Proc76;153;72
Proc77;143;58
Proc78;963;2
Proc79;668;47
Proc80;557;67
Proc81;78;77
Proc82;675;96
Proc83;508;51
Proc84;245;50
Proc85;701;72
Proc86;861;50
Proc87;353;50
Proc88;158;62
Proc89;98;54
Proc90;565;84
Proc91;498;49
Proc92;330;6
Proc93;416;54
Proc94;157;81
Proc95;606;30
Proc96;808;82
Proc97;141;16
Proc98;248;70
Proc99;395;7
Proc100;32;63
